# Thesis Device Words Configuration
# Format: term,canonical_device
# If term == canonical_device, it declares a canonical device
# If term != canonical_device, it's a synonym for the canonical device

# Core figurative / imagistic devices
Dutch angle,Dutch angle
Dutch tilt,Dutch angle
canted angle,Dutch angle
panning,panning
high angle,high angle
low angle,low angle
bird's eye view,high angle
worm's eye view,low angle
bokeh,bokeh
vignetting,vignetting
jump cut,jump cut
cross-cutting,cross-cutting
shot-reverse-shot,shot-reverse-shot
diegetic,diegetic
non-diegetic,diegetic

# Synonyms for thesis device words to improve semantic alignment
# Maps alternative terms students might use to the canonical device names
interview,quotation
interviews,quotation
interviewed,quotation
describe,description
describes,description
described,description
describing,description
statistical,data
quantitative,data
zoomorphic,zoomorphication
zoomorphism,zoomorphication
imageries,imagery
images,imagery
imagistic,imagery
metaphorical,metaphor
metaphorically,metaphor
similes,simile
symbolic,symbolism
symbolically,symbolism
allegorical,allegory
allegorically,allegory
hyperbolic,hyperbole
hyperbolically,hyperbole
hyperbolization,hyperbole
personify,personification
personifies,personification
personified,personification
personifying,personification
anthropomorphic,personification
anthropomorphism,personification
evocation,imagery
evocative,imagery
evocatively,imagery
descriptive imagery,imagery
visual imagery,imagery
auditory imagery,imagery
tactile imagery,imagery
olfactory imagery,imagery
gustatory imagery,imagery
motif,motif
motifs,motif
juxtaposition,juxtaposition
juxtapositions,juxtaposition
antithetical oppositions,antithesis
antithetical repetitions,antithesis
juxtapose,juxtaposition
juxtaposes,juxtaposition
juxtaposed,juxtaposition
juxtaposing,juxtaposition
word choice,diction
sentence structure,syntax
tone shift,tone
tonal,tone
tonally,tone
descriptive,description
descriptively,description
narrative voice,narration
narrator voice,narration
storytelling,narration
chronology,temporal
chronological,temporal
define,definition
defines,definition
defining,definition
comparative,comparison
contrastive,contrast
analogical,analogy
allusive,allusion
allusively,allusion
repetitive,repetition
repetitively,repetition
statistical evidence,data
data point,data
statistics-based,data
exemplify,example
exemplifies,example
exemplified,example
case study,example
case studies,example
causation,cause
causal chain,cause
causally,cause
logical fallacy,logical fallacy
false dichotomy,false dilemma
false binary,false dilemma
binary opposition,binary
hasty generalization,hasty generalization
circular reasoning,circular reasoning
parallel,parallelism
parallel structure,parallelism
parenthetical phrase,parenthesis
parenthetically,parenthesis
conditional clause,conditional
modal verb,modal
rhythm,rhythm
meter,meter
metrical,meter
scansion,scansion
line break,enjambment
line breaks,enjambment
end-stopped,caesura
end-stopping,caesura
pun,pun
puns,pun
wordplay,wordplay
ambiguity,ambiguity
ambiguous,ambiguity
ambiguously,ambiguity
double meaning,ambiguity
double entendre,ambiguity
irony,irony
ironic,irony
ironically,irony
sarcasm,sarcasm
